                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.046152,               0.042441,               0.037687,               0.010709,                 0.6457,                0.59303,                0.60115,                0.39867,                0.64917,                 0.5939,                0.60302,                0.41026,               0.049614,               0.035127,               0.025237,                0.01256,              0.0097723,              0.0097723,              0.0097723
                     25,               0.045246,               0.042012,               0.036974,               0.010045,                0.63337,                0.59875,                0.60557,                0.41061,                0.63648,                0.59404,                0.60284,                0.42606,               0.049318,               0.035197,               0.024987,               0.012259,              0.0097624,              0.0097624,              0.0097624
                     26,               0.045219,               0.041541,                0.03731,              0.0099682,                0.59549,                0.60383,                0.59195,                0.38681,                0.59827,                0.59835,                0.58959,                 0.4015,               0.050156,               0.035845,               0.025499,               0.012968,              0.0097525,              0.0097525,              0.0097525
                     27,               0.044571,               0.040781,               0.036514,               0.009703,                0.59682,                0.64903,                0.61482,                0.42355,                0.59045,                0.64006,                0.60868,                0.42513,               0.048471,               0.034971,                0.02494,               0.012085,              0.0097426,              0.0097426,              0.0097426
                     28,               0.044366,               0.040997,               0.036109,              0.0099451,                0.61221,                 0.5872,                0.58925,                0.39285,                0.62489,                0.57629,                0.57846,                0.40671,               0.050608,               0.036301,               0.025833,               0.013617,              0.0097327,              0.0097327,              0.0097327
                     29,               0.044439,               0.040716,               0.036388,              0.0096445,                0.61369,                  0.623,                0.60684,                0.40623,                0.61983,                0.61213,                0.60171,                0.42129,               0.049761,               0.035532,               0.025046,               0.013196,              0.0097228,              0.0097228,              0.0097228
                     30,               0.043944,               0.040421,               0.036094,              0.0090799,                0.66455,                0.59114,                 0.6178,                0.41185,                0.68015,                0.58162,                0.61312,                0.42873,               0.048776,               0.035054,               0.024761,                0.01206,              0.0097129,              0.0097129,              0.0097129
                     31,                0.04365,               0.040436,               0.035944,              0.0092777,                0.61807,                0.64557,                0.62164,                0.42383,                0.63324,                0.63767,                 0.6189,                0.43545,               0.048207,               0.033846,               0.024735,               0.010966,               0.009703,               0.009703,               0.009703
                     32,                0.04324,                0.04009,               0.036083,               0.008705,                0.66416,                0.59975,                0.63046,                0.41706,                0.65894,                0.60356,                0.62712,                0.43688,               0.048597,               0.034766,               0.025043,               0.012546,              0.0096931,              0.0096931,              0.0096931
                     33,               0.043337,               0.039892,               0.036049,              0.0089772,                0.64955,                0.59041,                0.62463,                0.42786,                0.66966,                0.58255,                0.61751,                0.43612,               0.049381,               0.034735,               0.025445,               0.013462,              0.0096832,              0.0096832,              0.0096832
                     34,               0.042664,                0.03926,               0.035409,              0.0094493,                 0.6592,                0.59691,                0.62591,                0.41724,                0.64609,                0.60736,                0.61859,                0.43524,               0.048447,               0.034191,               0.024906,                 0.0119,              0.0096733,              0.0096733,              0.0096733
                     35,               0.042781,               0.039823,               0.035856,              0.0087439,                0.65645,                0.63628,                0.64303,                0.44352,                0.66617,                0.63416,                0.63925,                0.45016,               0.047533,               0.034342,               0.024673,                0.01098,              0.0096634,              0.0096634,              0.0096634
                     36,               0.042441,                0.03937,               0.035217,              0.0084672,                0.62877,                0.63223,                0.62771,                0.42111,                 0.6252,                0.62006,                0.62097,                0.43507,               0.048672,               0.035555,               0.024957,               0.012998,              0.0096535,              0.0096535,              0.0096535
                     37,               0.041988,               0.039334,               0.035782,              0.0082959,                0.65195,                0.63537,                 0.6372,                0.42692,                0.65237,                0.62717,                0.62781,                0.43885,               0.048377,               0.033906,               0.024714,               0.011255,              0.0096436,              0.0096436,              0.0096436
                     38,               0.041861,               0.038696,               0.035178,              0.0082455,                0.63075,                0.60376,                0.61417,                0.41583,                0.62849,                0.60872,                0.60806,                0.43152,               0.049326,               0.035243,               0.025238,               0.011585,              0.0096337,              0.0096337,              0.0096337
                     39,               0.041682,               0.038762,               0.034606,              0.0084155,                0.59511,                0.64127,                 0.6176,                0.41902,                0.59284,                0.63758,                0.61004,                0.43447,                0.04816,               0.034809,               0.025219,               0.011522,              0.0096238,              0.0096238,              0.0096238
                     40,               0.041176,               0.037769,               0.033863,              0.0083751,                0.66008,                 0.6242,                0.62864,                0.41687,                0.67923,                0.61676,                0.62646,                0.43663,               0.048171,               0.034201,               0.025223,               0.012431,              0.0096139,              0.0096139,              0.0096139
                     41,               0.041211,               0.038265,               0.034822,              0.0077472,                0.69115,                0.61591,                 0.6421,                0.43745,                0.70343,                0.61125,                0.63733,                0.45524,               0.047778,                 0.0333,                0.02483,               0.011023,               0.009604,               0.009604,               0.009604
                     42,               0.040663,               0.037693,               0.034132,              0.0075286,                0.66665,                 0.6498,                0.65302,                0.44242,                0.67407,                0.63897,                0.64527,                0.46007,               0.047226,               0.033408,               0.024844,               0.011133,              0.0095941,              0.0095941,              0.0095941
                     43,               0.040353,               0.036942,                 0.0337,              0.0074401,                0.68031,                0.61287,                0.63922,                0.44219,                0.67907,                0.62178,                0.63825,                0.44793,               0.047115,               0.033326,               0.024677,               0.011258,              0.0095842,              0.0095842,              0.0095842
                     44,               0.040365,               0.037424,               0.034095,              0.0077554,                0.70075,                0.61185,                0.64232,                0.44155,                0.69521,                0.59987,                0.62914,                0.45302,               0.048476,               0.034346,               0.024652,               0.010981,              0.0095743,              0.0095743,              0.0095743
                     45,               0.040356,               0.038084,               0.034316,              0.0072612,                0.71132,                0.62724,                0.65352,                0.45215,                0.69311,                 0.6291,                0.64294,                0.46169,               0.047845,               0.033866,               0.024617,               0.012063,              0.0095644,              0.0095644,              0.0095644
                     46,               0.040146,                0.03749,                0.03388,              0.0073229,                0.69182,                0.63627,                0.65207,                0.45195,                0.68912,                0.63462,                0.64617,                0.46546,               0.046911,               0.033301,               0.024723,               0.010295,              0.0095545,              0.0095545,              0.0095545
                     47,               0.039731,               0.037433,               0.034505,              0.0070256,                0.69606,                0.64053,                0.65542,                0.44956,                0.69127,                0.63651,                0.64675,                 0.4605,               0.048295,               0.034085,               0.024411,               0.012063,              0.0095446,              0.0095446,              0.0095446
                     48,               0.040045,                0.03705,                 0.0334,              0.0070013,                0.66632,                0.62996,                0.65097,                 0.4411,                0.66715,                0.62591,                0.64238,                0.45572,               0.047495,                0.03345,               0.024864,               0.011759,              0.0095347,              0.0095347,              0.0095347
                     49,               0.038852,               0.036913,               0.033579,              0.0069382,                0.65793,                0.65005,                0.65075,                0.45416,                0.67389,                0.63821,                0.65092,                0.46891,               0.047321,               0.033732,               0.024892,               0.011645,              0.0095248,              0.0095248,              0.0095248
                     50,               0.039344,               0.036545,               0.033386,               0.007084,                0.69581,                0.63078,                0.66085,                0.46921,                0.68602,                0.63057,                0.64958,                0.47031,               0.047894,               0.034064,               0.024685,                0.01148,              0.0095149,              0.0095149,              0.0095149
                     51,               0.039392,               0.036134,               0.032841,              0.0067304,                0.68045,                0.63584,                0.65013,                0.44891,                0.67091,                0.64095,                0.64506,                0.46095,                0.04708,               0.033448,               0.025084,               0.011305,               0.009505,               0.009505,               0.009505
                     52,               0.038836,               0.035818,               0.032243,              0.0067724,                 0.6793,                0.63508,                0.65256,                 0.4586,                0.68746,                0.63981,                0.65492,                0.47426,               0.046943,                0.03337,               0.024748,               0.011653,              0.0094951,              0.0094951,              0.0094951
                     53,               0.039209,               0.035933,               0.032972,              0.0067072,                0.66737,                0.63005,                0.65296,                0.45002,                0.67248,                0.63401,                0.65049,                0.46263,               0.047371,               0.033089,                0.02488,                0.01177,              0.0094852,              0.0094852,              0.0094852
                     54,               0.038791,               0.035674,               0.032832,              0.0066173,                0.70172,                0.65568,                0.66568,                0.45149,                0.70628,                0.66009,                 0.6631,                0.46357,               0.047006,               0.032706,               0.024927,               0.011874,              0.0094753,              0.0094753,              0.0094753
                     55,               0.038326,               0.035919,               0.032919,              0.0061716,                0.65989,                0.68562,                0.65794,                0.45712,                0.66679,                0.67712,                0.65506,                0.47572,               0.046847,                0.03334,               0.024938,               0.010871,              0.0094654,              0.0094654,              0.0094654
